index,genre,popularity,duration_ms,acousticness,positiveness,danceability,loudness,energy,liveness,speechiness,instrumentalness,tempo,region
0,10,11,201094,0.1128111339828574,0.1572471780947721,0.1878413799606568,-1.884852050233595,0.8939182385290325,0.3635681822718619,0.3901082510359595,0.8888840711893511,121-152,region_H
1,8,69,308493,0.1013332411083806,0.3465631954810996,0.5544436605863335,-5.54649493681357,0.8744085353913282,0.1938915206606696,0.161496717472862,0.1239104191277347,153-176,region_I
2,3,43,197225,0.4964195327187035,0.2653907470159499,0.4576419245675713,-9.255669867223908,0.4399327820542892,0.2171457949415621,0.3690570158103236,0.166469924386727,64-76,region_E
3,10,45,301092,0.1656668591744162,0.2455327028518325,0.3565783483936252,-5.088787627657481,0.8687039427959536,0.3770245189386033,0.2266767280437542,0.1753993178261655,177-192,region_C
4,3,57,277348,0.1907203375129691,0.7775776127340456,0.8304787283782085,-3.93389553443498,0.6501493070229704,0.1693225165409542,0.2224877781294829,0.2260304721182641,97-120,unknown
5,10,32,252605,0.1004328681768039,0.2296979073505017,0.5876487524728613,-4.991759312004183,0.809951429130612,0.9622515859270566,0.2360207790214111,0.154658079878294,97-120,region_I
6,10,31,218589,0.2540648887856207,0.7945630441300918,0.4898025785501125,-1.6815860101219244,0.7038845921805086,0.1304637643405057,0.2174556542718178,0.1281786722977625,77-96,region_N
7,10,19,190069,0.272894656758968,0.7774895496043766,0.488268767912734,-9.806093700235726,0.5565479358936574,0.2926219910328333,0.1879615430151477,0.1360977826229777,77-96,region_O
8,7,50,280317,0.7713603313320174,0.3710014370386757,0.4520263929188925,-11.94991459922915,0.3791097758900447,0.6207383960433307,0.1299902417453249,0.1976327267817416,77-96,region_B
9,2,16,376362,0.4777212898475511,0.6895679553208724,0.4854348285238072,-3.307001843598801,0.6120704272953112,0.1673091809018337,0.1282453932641754,0.1141557663707934,121-152,region_O
10,8,31,206509,0.7465019577014451,0.2233804169290083,0.2112779125106773,-11.665294513932135,0.1254289731756139,0.2414909236260026,0.1211162606809394,0.2249713825071479,64-76,region_K
11,7,24,154413,0.345864554196347,0.6738606184276849,0.5755877469217905,-14.051572321477416,0.5742082439731996,0.1123046425755867,0.2401272706635545,0.1256876518988902,153-176,region_H
12,8,51,210976,0.3109827676261886,0.5890435709978675,0.5456064884555609,-4.534802320146274,0.5811348477625128,0.2284626377750193,0.1934730903643864,0.1706311921306129,121-152,region_E
13,8,45,167429,0.0751270577709015,0.7987942323322523,0.3807244607711662,-4.661893471130826,0.7915390664759215,0.3020142299466944,0.2089434715182623,0.1352295777262255,153-176,region_O
14,10,2,130867,0.1668841703860964,0.3480999366368026,0.5175848443749389,-3.535550775621421,0.8022322522233398,0.4675081121796884,0.220690754720599,0.1403562081406425,121-152,region_L
15,10,42,227424,0.1237686369896757,0.0507131476279664,0.3246292034450126,-1.2483755672637624,0.8711775422281908,0.3558238382187149,0.3443393364949704,0.1910628037862585,97-120,region_P
16,10,9,292931,0.129763620345127,0.3107775934696551,0.49000933326561,-7.035094504987167,0.6384685326792704,0.2024610054333524,0.1415859480188198,0.7551021151256302,97-120,region_R
